fecha,Barcelona_fabra,Barcelona,Sabadell_aero,Garriga,Castellar,Llica,el_Mogent,Mogoda,Gramenet
2003-01-01,0.0,0.0,0.0,0.254,0.0327,0.155,0.3985,0.12,3.6275
2003-01-02,0.0,0.0,,0.254,0.0281,0.151,0.3745,0.106,3.9471
2003-01-03,0.0,0.0,,0.246,0.0225,0.145,0.375,0.101,4.0174
2003-01-04,0.0,0.0,0.0,0.251,0.03,0.145,0.3720000000000001,0.099,3.9316
2003-01-05,18.1,16.4,2.1,0.241,0.0328,0.146,0.3686,0.097,3.7913
2003-01-06,1.0,0.2,4.3,0.644,0.0559,0.205,1.0558,0.516,7.6332
2003-01-07,0.0,0.5,,0.317,0.039,0.168,0.6,0.189,4.6152
2003-01-08,2.1,1.1,,0.314,0.0386,0.163,0.519,0.159,4.7008
2003-01-09,0.0,0.0,,0.309,0.0315,0.158,0.4775,0.138,4.4481
2003-01-10,0.0,0.0,,0.309,0.0327,0.153,0.419,0.13,4.3258
2003-01-11,0.0,0.0,0.5,0.269,0.0324,0.147,0.374,0.125,3.9437
2003-01-12,0.0,0.0,0.0,0.259,0.0326,0.14400000000000002,0.3684,0.111,3.6819
2003-01-13,0.0,0.0,0.0,0.259,0.0369,0.138,0.4548,0.111,3.918
2003-01-14,0.0,0.0,0.0,0.264,0.0311,0.136,0.3755,0.118,3.9258
2003-01-15,0.0,0.0,0.0,0.254,0.032,0.134,0.4443,0.115,4.0599
2003-01-16,0.0,0.0,0.0,0.251,0.0314,0.134,0.4105,0.115,3.951
2003-01-17,0.0,0.0,0.0,0.231,0.0311,0.136,0.4418,0.111,3.891
2003-01-18,,0.0,0.0,0.241,0.0363,0.132,0.374,0.108,3.6617
2003-01-19,2.2,5.0,1.4,0.236,0.0366,0.13699999999999998,0.4113,0.118,3.7636
2003-01-20,1.2,0.8,2.0,0.236,0.0294,0.132,0.419,0.12,3.891
2003-01-21,0.0,0.0,0.0,0.251,0.0327,0.13699999999999998,0.4320000000000001,0.133,4.2605
2003-01-22,0.0,0.0,0.0,0.212,0.0282,0.132,0.3765,0.106,3.8531
2003-01-23,0.0,0.0,0.0,0.201,0.0275,0.127,0.374,0.097,3.8248
2003-01-24,0.0,0.0,0.0,0.192,0.025,0.125,0.3718,0.094,3.7537
2003-01-25,0.0,0.0,0.0,0.192,0.0276,0.124,0.3684,0.097,3.593
2003-01-26,0.0,0.0,0.0,0.183,0.0307,0.121,0.363,0.09,3.3292
2003-01-27,0.0,0.0,0.0,0.183,0.0202,0.116,0.3567,0.081,3.4093
2003-01-28,0.0,0.0,,0.222,0.0193,0.118,0.3616,0.085,3.6273
2003-01-29,0.0,0.0,,0.183,0.0225,0.12,0.3644,0.094,3.7451
2003-01-30,0.0,0.0,,0.192,0.0235,0.077,0.363,0.104,3.4239
2003-01-31,0.0,0.0,,0.187,0.0245,0.076,0.3539,0.24,3.6944
2003-02-01,0.0,0.0,,0.183,0.0261,0.07400000000000001,0.3422,0.195,3.1592
